confectionery_name,province,phone_number,cost,work_start,work_end,confectionery_address,hookah,internet,delivery,smoking,open_space,live_music,parking,pos,food_quality,service,cost_value,environment,follower,lat,lon
"نان و شیرینی,شیرینی فروشی نون خامه ای (میرداماد)",خیابان میرداماد,26401636,2,09:00:00,21:00:00,خیابان میرداماد، جنب مترو میرداماد، مجتمع تجاری رز، طبقه همکف پلاک 11,False,False,False,False,False,False,False,True,0,0,0,0,0,35.7598508476766,51.4341239765352
شیرینی فروشی کافه قنادی سینامون,مجیدیه جنوبی 16متریه دوم نبش کوچه هشتم,22535457,2,09:00:00,21:00:00,مجیدیه جنوبی 16متریه دوم نبش کوچه هشتم,False,False,False,False,False,False,False,True,5,4,4,4,0,35.7355103771722,51.4696069234851
شیرینی فروشی هانس,خیابان کریمخان زند,88909806,2,09:00:00,17:00:00,خیابان کریمخان زند، آبان جنوبی، کوچه عقیلی، پلاک 3,False,False,False,False,False,False,False,True,5,5,4,4,0,35.7109197498944,51.4131273337758
شیرینی فروشی پوپک,یوسف آباد,88701515,2,09:00:00,21:00:00,یوسف آباد ،  جنب سینما گلریز ، نبش کوچه 34,False,False,False,False,False,False,False,True,4,3,3,4,0,35.73303592394,51.4061982741916
"نان و شیرینی,شیرینی فروشی مینیون",خیابان سعدی,77686253,2,07:30:00,19:30:00,خیابان سعدی، نبش خیابان برادران قائدی(هدایت سابق)،پلاک665,False,False,False,False,False,False,False,True,2,2,3,3,0,35.6992811575661,51.42587542533874
شیرینی فروشی دانمارکی(ویلا),خیابان انقلاب,88909383,2,08:00:00,21:00:00,خیابان انقلاب ، خیابان نجات الهی ، بالاتر از خیابان طالقانی,False,False,False,False,False,False,False,True,5,5,3,5,0,35.7078517102724,51.4153568834213
شیرینی فروشی بانش,خیابان زعفرانیه,22661095,2,09:00:00,23:00:00,خیابان زعفرانیه،خیابان مقدس اردبیلی،نرسیده به میدان الف،مجتمع پالادیوم،طبقه GB,False,False,False,False,False,False,False,True,4,4,3,4,0,35.797641921553,51.4133682239985
شیرینی فروشی لبنانی روشه (گاندی),خیابان گاندی جنوبی,88889347,2,09:00:00,21:30:00,خیابان گاندی جنوبی ، تقاطع همت ، رو به روی سیزدهم,False,False,False,False,False,False,False,True,5,5,4,5,0,35.75146470391398,51.41227022182647
شیرینی فروشی بلوط,تهرانپارس,77868484,2,08:00:00,22:30:00,تهرانپارس، بین فلکه دوم و سوم، 182 غربی,False,False,False,False,False,False,False,True,5,4,3,4,0,35.7390035495111,51.5322345578466
شیرینی فروشی اکلر (فرشته),خیابون فرشته,22006355,2,10:00:00,22:00:00,خیابون فرشته، ابتدای خیابون آقا بزرگی، پلاک 4,False,False,False,False,False,False,False,True,0,0,0,0,0,35.78908115914228,51.42337426543236
"شیرینی فروشی,اسنک و شیرینی کانتینر (دیباجی)",فرمانیه,26111140,2,07:00:00,00:00:00,فرمانیه،دیباجی شمالی،پلاک ۱۱،۱۳,False,False,False,False,False,False,False,True,4,3,4,3,0,35.793568,51.464076
شیرینی فروشی پاک,خیابان دماوند,77410052,2,08:00:00,22:00:00,خیابان دماوند، ایستگاه داریوش، قنادی پاک,False,False,False,False,False,False,False,True,4,4,3,4,0,35.7095459962307,51.5000126303481
شیرینی فروشی  شیرینی داغ,خیابان پیروزی,77475092,2,08:00:00,22:00:00,خیابان پیروزی، مقابل خ یابان پنجم نیروی هوایی ،  پلاک 120,False,False,False,False,False,False,False,True,4,4,2,4,0,35.6927404869605,51.488302259969
,استادنجات الهی,88900833,1,08:30:00,21:30:00,استادنجات الهی، ویلا، نرسیده به خیابان کریمخان زند، پلاک ۱۸۶,False,False,False,False,False,False,False,True,5,4,3,4,0,35.71443762967568,51.4144954159201
شیرینی فروشی قاقالی لی خوشه,خیابان پیروزی,33343832,2,08:00:00,22:00:00,خیابان پیروزی،جنب ایستگاه مترو پیروزی,False,False,False,False,False,False,False,True,0,0,0,0,0,35.6907764,51.4680624
شیرینی فروشی انسی,خیابان پیروزی.نبش کریم شاهیان,77431986,2,08:00:00,22:00:00,خیابان پیروزی.نبش کریم شاهیان ، جنب پمپ بنزین ، پلاک162,False,False,False,False,False,False,False,True,4,4,4,4,0,35.6924319289374,51.4877994071533
شیرینی فروشی لاریسا(اقدسیه),اقدسیه – بلوار ارتش – مجتمع تجاری الماس شرق – طبقه همکف,22955567,2,08:30:00,22:00:00,اقدسیه – بلوار ارتش – مجتمع تجاری الماس شرق – طبقه همکف,False,False,False,False,False,False,False,True,2,1,1,2,0,35.78833270049132,51.50493621826172
شیرینی فروشی هایپرشیرینی علامه,سعادت آباد,22140317,2,08:00:00,22:30:00,سعادت آباد، علامه شمالی، نبش خیابان۱۶,False,False,False,False,False,False,False,True,0,0,0,0,0,35.7810653227263,51.38026177883148
شیرینی فروشی بهار,میدان بهارستان,33561771,2,08:30:00,22:00:00,میدان بهارستان ، بعداز چهارراه سرچشمه ، جنب بانک کشاورزی,False,False,False,False,False,False,False,True,4,4,3,4,0,35.68459657709786,51.43168777227402
شیرینی فروشی ناتلی (سهروردی),سهروردی شمالی,87108,2,07:00:00,23:00:00,سهروردی شمالی ، نبش کوچه توپچی ، پلاک 655,False,False,False,False,False,False,False,True,3,4,4,3,0,35.7366210304496,51.4426045023388
شیرینی فروشی پیروک,شریعتی.بعداز چهارراه مطهری.پلاک 590,88403651,2,09:00:00,23:00:00,شریعتی.بعداز چهارراه مطهری.پلاک 590,False,False,False,False,False,False,False,True,4,4,4,4,0,35.7261403403356,51.4444336295128
"نان و شیرینی,بوتیک کیک,شیرینی فروشی سوییت بلیس (نیاوران)",نیاوران,22825016,2,09:00:00,23:00:00,نیاوران، بین پمپ بنزین نیاوران و جماران، نبش کوچه ستایش,False,False,True,False,False,False,False,True,3,4,3,4,0,35.8059312066246,51.4574916473977
شیرینی فروشی هنر,تهرانسر,44587002,2,08:30:00,23:00:00,تهرانسر،نفت جنوبي،نبش ٤٩,False,False,False,False,False,False,False,True,0,0,0,0,0,35.6890250002064,51.2580720707774
شیرینی فروشی استودیو کیک سارا,بزرگراه کردستان,88600951,2,09:00:00,00:00:00,بزرگراه کردستان ، مجتمع ASP بخش تجاری,False,False,False,False,False,False,False,True,0,0,0,0,0,35.7449328966633,51.3998131168341
شیرینی فروشی تینا,خیابان خرمشهر ( آپادانا ),88733640,2,09:00:00,21:00:00,خیابان خرمشهر ( آپادانا )،روبروی نیلوفر، پلاک 174,False,False,False,False,False,False,False,True,4,3,3,4,0,35.7355887975479,51.4335548872928
شیرینی فروشی باقلوا ترکی علی کیپا,سلسبیل,09120269770,2,10:00:00,22:00:00,سلسبیل،تقاطع هاشمی،جنب پاساژ کیش,False,False,False,False,False,False,False,True,0,0,0,0,0,35.6907498,51.3761046
